pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_insol,discoverymethod,hostname
Kepler-197 d,1.5,,,,109.091,Transit,Kepler-197
K2-183 d,17.4,,22.634594,,,Transit,K2-183
K2-183 d,2.54112738,,22.629496,,,Transit,K2-183
K2-183 d,2.3,,22.620344,,,Transit,K2-183
K2-183 d,2.86,,22.631964,0.1527,,Transit,K2-183
K2-183 d,5.2,,22.6302,,,Transit,K2-183
K2-187 e,2.5,,13.608511,,,Transit,K2-187
K2-187 e,2.25541631,,13.608341,,,Transit,K2-187
K2-187 e,1.9,,13.606629,,,Transit,K2-187
K2-187 e,2.38,,13.609878,0.1106,,Transit,K2-187
K2-187 e,2.69,,13.60496,,,Transit,K2-187
K2-187 c,1.8,,2.872042,0.0392,,Transit,K2-187
K2-187 c,1.8,,2.871348,,,Transit,K2-187
K2-187 c,1.4,,2.871512,,,Transit,K2-187
K2-187 c,1.9,,2.87162,,,Transit,K2-187
K2-187 c,1.70058746,,2.871788,,,Transit,K2-187
K2-270 b,1.38,,1.543069,0.0247,,Transit,K2-270
K2-270 b,1.5,,1.543041,,,Transit,K2-270
K2-270 b,1.3,,1.543452,,,Transit,K2-270
Kepler-184 d,2.497,,,,18.557,Transit,Kepler-184
Kepler-184 d,2.8,,29.02277,0.183,,Transit,Kepler-184
Kepler-184 d,2.53,,29.02235261,0.1765,23.76,Transit,Kepler-184
Kepler-184 d,2.8,,29.02235261,,,Transit,Kepler-184
Kepler-184 d,,,29.02231937,,,Transit,Kepler-184
Kepler-184 d,,,29.0225230457,,,Transit,Kepler-184
Kepler-184 d,2.49,,29.022358,0.179,,Transit,Kepler-184
Kepler-184 d,2.416,,29.02235261,0.17668,18.1,Transit,Kepler-184
Kepler-184 d,,,29.02235217,,,Transit,Kepler-184
Kepler-184 d,2.55,,29.02235217,0.177,23.06,Transit,Kepler-184
Kepler-184 d,,,29.023,,,Transit,Kepler-184
Kepler-184 d,2.53,,29.02235261,0.1765,23.76,Transit,Kepler-184
Kepler-184 d,2.53,,29.02235261,0.1765,23.76,Transit,Kepler-184
Kepler-257 d,5.34,,24.66461416,0.1582,24.53,Transit,Kepler-257
Kepler-257 d,4.95,,24.664551,0.16,,Transit,Kepler-257
Kepler-257 d,4.664,,24.66459711,0.16109,15.2,Transit,Kepler-257
Kepler-257 d,5.67,,24.66459711,0.1582,24.53,Transit,Kepler-257
Kepler-257 d,5.67,,24.66459711,0.1582,24.53,Transit,Kepler-257
Kepler-257 d,4.69,,24.66459711,,,Transit,Kepler-257
Kepler-257 d,5.67,,24.66459711,0.1582,24.53,Transit,Kepler-257
Kepler-257 d,,,24.6643939784,,,Transit,Kepler-257
Kepler-257 d,,,24.66454505,,,Transit,Kepler-257
Kepler-257 d,4.2,,24.66454,0.15,,Transit,Kepler-257
Kepler-257 d,,,24.66461416,,,Transit,Kepler-257
K2-280 b,8.01,,19.89531,,,Transit,K2-280
K2-280 b,7.67,,19.895202,0.1488,,Transit,K2-280
K2-280 b,8.5,,19.895268,,,Transit,K2-280
K2-280 b,7.46,49.0,19.895,,69.5,Transit,K2-280
K2-280 b,5.55493874,,19.894641,,,Transit,K2-280
K2-280 b,7.5,37.1,19.89526,0.1461,,Transit,K2-280
K2-381 c,,,16.0382,,,Transit,K2-381
K2-381 c,2.05816745,,16.035054,,,Transit,K2-381
K2-381 c,2.0,,16.034656,,,Transit,K2-381
K2-381 c,2.0,,16.038474,,,Transit,K2-381
K2-381 c,2.05,,16.0343,,,Transit,K2-381
Kepler-222 c,,,10.0887989503,,,Transit,Kepler-222
Kepler-222 c,4.64,,10.08881,0.091,,Transit,Kepler-222
Kepler-222 c,,,10.08880336,,,Transit,Kepler-222
Kepler-222 c,4.576,,10.088796973,0.08931,57.5,Transit,Kepler-222
Kepler-222 c,4.71,,10.08881066,0.0898,68.62,Transit,Kepler-222
Kepler-222 c,4.81,,10.088796973,0.0898,68.62,Transit,Kepler-222
Kepler-222 c,4.81,,10.088796973,0.0898,68.62,Transit,Kepler-222
Kepler-222 c,4.555,,,,59.076,Transit,Kepler-222
Kepler-222 c,4.81,,10.088796973,0.0898,68.62,Transit,Kepler-222
Kepler-222 c,4.75,,10.088796973,,,Transit,Kepler-222
Kepler-222 c,4.4,,10.088813,0.087,,Transit,Kepler-222
Kepler-222 c,,,10.08881066,,,Transit,Kepler-222
HATS-36 b,13.843115,1022.14128,4.1752387,0.05425,561.0,Transit,HATS-36
HATS-36 b,12.92,,4.175186,0.0523,,Transit,HATS-36
HATS-36 b,12.77,,4.175235,,,Transit,HATS-36
HATS-36 b,13.4,,4.175187,,,Transit,HATS-36
HATS-36 b,13.70940899,,4.17471430219,,466.8809,Transit,HATS-36
Kepler-229 b,2.49,,6.252964898,,,Transit,Kepler-229
Kepler-229 b,2.288,,6.252964898,0.0619,72.9,Transit,Kepler-229
Kepler-229 b,2.245,,,,76.217,Transit,Kepler-229
